"Module Name","Display Name","Driver Type","Link Date"
"iaStorV","Intel RAID Controller Windows 7","Kernel ","12-04-2011 12:18:16 AM"
"iaStorVD","Intel(R) Chipset VMD RST Controller service","Kernel ","06-12-2024 06:47:38 PM"
"ibbus","Mellanox InfiniBand Bus/AL (Filter Driver)","Kernel ","19-06-2019 06:50:09 PM"
"igfxn","igfxn","Kernel ","16-09-2025 01:58:03 PM"
"IndirectKmd","Indirect Displays Kernel-Mode Driver","Kernel ",""
"IntcAudioBus","Intelr Smart Sound Technology BUS","Kernel ","14-01-2025 07:56:34 PM"
"IntcBTAu","Intelr Smart Sound Technology for Bluetoothr Audio","Kernel ","14-01-2025 07:56:52 PM"
"IntcOED","Intelr Smart Sound Technology OED","Kernel ","14-01-2025 07:59:09 PM"
"IntcUSB","Intelr Smart Sound Technology for USB Audio","Kernel ","14-01-2025 07:56:53 PM"
"IntelGNA","Intel(R) GNA Scoring Accelerator service","Kernel ","14-11-2023 04:59:56 PM"
"intelide","intelide","Kernel ",""
"intelpep","Intel(R) Power Engine Plug-in Driver","Kernel ",""
"intelpmax","Intel(R) Dynamic Device Peak Power Manager Driver","Kernel ",""
"IntelPMT","Intel(R) Platform Monitoring Technology Service","Kernel ",""
"intelppm","Intel Processor Driver","Kernel ",""
"iorate","Disk I/O Rate Filter Driver","Kernel ",""
"IpFilterDriver","IP Traffic Filter Driver","Kernel ",""
"ipf_acpi","ipf_acpi","Kernel ","04-10-2024 02:15:13 AM"
"ipf_cpu","ipf_cpu","Kernel ","04-10-2024 02:15:14 AM"
"ipf_lf","ipf_lf","Kernel ","04-10-2024 02:15:27 AM"
"IPMIDRV","IPMIDRV","Kernel ",""
"IPNAT","IP Network Address Translator","Kernel ",""
"IPT","IPT","Kernel ",""
"isapnp","isapnp","Kernel ",""
"iScsiPrt","iScsiPort Driver","Kernel ",""
"ItSas35i","ItSas35i","Kernel ","01-03-2021 03:45:20 PM"
"kbdclass","Keyboard Class Driver","Kernel ",""
"kbdhid","Keyboard HID Driver","Kernel ",""
